name,Age,G,GS,MP,FG,FGA,FGP,Three_P,Three_PA,Three_PP,Two_P,Two_PA,Two_PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,place,team,team_abbr
DeMar DeRozan,21,82,82,2851,539,1154,0.467,5,52,0.096,534,1102,0.485,0.469,327,402,0.813,75,240,315,148,85,31,144,217,1410,2011,Toronto,Raptors,TOR
Andrea Bargnani,25,66,66,2353,525,1173,0.448,77,223,0.345,448,950,0.472,0.48,287,350,0.82,74,269,343,119,34,46,152,160,1414,2011,Toronto,Raptors,TOR
José Calderón,29,68,55,2102,262,596,0.44,57,156,0.365,205,440,0.466,0.487,88,103,0.854,30,172,202,605,81,7,148,143,669,2011,Toronto,Raptors,TOR
Amir Johnson,23,72,54,1853,281,495,0.568,0,1,0.0,281,494,0.569,0.568,126,160,0.788,189,272,461,81,53,88,69,263,688,2011,Toronto,Raptors,TOR
Ed Davis,21,65,17,1602,215,373,0.576,0,0,0.0,215,373,0.576,0.576,71,128,0.555,168,294,462,40,39,67,48,183,501,2011,Toronto,Raptors,TOR
Sonny Weems,24,59,28,1413,228,513,0.444,17,61,0.279,211,452,0.467,0.461,72,94,0.766,39,114,153,104,34,2,86,87,545,2011,Toronto,Raptors,TOR
Leandro Barbosa,28,58,0,1395,294,653,0.45,72,213,0.338,222,440,0.505,0.505,109,137,0.796,14,85,99,119,50,6,84,112,769,2011,Toronto,Raptors,TOR
Jerryd Bayless,22,60,14,1347,201,468,0.429,46,132,0.348,155,336,0.461,0.479,153,189,0.81,24,126,150,238,36,4,110,133,601,2011,Toronto,Raptors,TOR
Linas Kleiza,26,39,23,1032,178,406,0.438,39,131,0.298,139,275,0.505,0.486,41,65,0.631,37,140,177,40,19,7,65,99,436,2011,Toronto,Raptors,TOR
Reggie Evans,30,30,18,798,42,103,0.408,0,1,0.0,42,102,0.412,0.408,48,88,0.545,119,226,345,38,29,6,39,89,132,2011,Toronto,Raptors,TOR
Julian Wright,23,52,6,766,82,160,0.513,2,10,0.2,80,150,0.533,0.519,22,43,0.512,47,71,118,58,39,20,43,45,188,2011,Toronto,Raptors,TOR
James Johnson,23,25,25,699,91,196,0.464,6,25,0.24,85,171,0.497,0.48,41,58,0.707,31,87,118,75,25,28,46,70,229,2011,Toronto,Raptors,TOR
Joey Dorsey,27,43,9,522,52,99,0.525,0,0,0.0,52,99,0.525,0.525,31,65,0.477,79,111,190,27,24,17,39,78,135,2011,Toronto,Raptors,TOR
Jarrett Jack,27,13,13,347,48,122,0.393,4,24,0.167,44,98,0.449,0.41,40,46,0.87,6,36,42,59,14,0,34,25,140,2011,Toronto,Raptors,TOR
Alexis Ajinça,22,24,0,265,47,101,0.465,9,27,0.333,38,74,0.514,0.51,11,15,0.733,12,49,61,8,8,14,17,60,114,2011,Toronto,Raptors,TOR
David Andersen,30,11,0,150,23,47,0.489,3,10,0.3,20,37,0.541,0.521,7,7,1.0,8,26,34,7,3,3,8,11,56,2011,Toronto,Raptors,TOR
Sundiata Gaines,24,6,0,90,15,35,0.429,3,15,0.2,12,20,0.6,0.471,2,6,0.333,2,6,8,11,4,1,8,10,35,2011,Toronto,Raptors,TOR
Trey Johnson,26,7,0,81,10,30,0.333,1,3,0.333,9,27,0.333,0.35,7,8,0.875,2,5,7,11,1,1,5,11,28,2011,Toronto,Raptors,TOR
Solomon Alabi,22,12,0,59,3,15,0.2,0,0,0.0,3,15,0.2,0.2,0,2,0.0,7,7,14,2,2,2,3,5,6,2011,Toronto,Raptors,TOR
Peja Stojaković,33,2,0,22,7,10,0.7,4,6,0.667,3,4,0.75,0.9,2,2,1.0,0,3,3,1,0,0,2,0,20,2011,Toronto,Raptors,TOR
Marcus Banks,29,3,0,22,0,2,0.0,0,0,0.0,0,2,0.0,0.0,6,8,0.75,0,1,1,3,1,0,2,4,6,2011,Toronto,Raptors,TOR
Ronald Dupree,30,3,0,13,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,0.0,0,3,3,1,0,0,0,2,2,2011,Toronto,Raptors,TOR
Ray Allen,35,80,80,2890,480,978,0.491,168,378,0.444,312,600,0.52,0.577,193,219,0.881,51,223,274,219,77,16,117,147,1321,2011,Boston,Celtics,BOS
Paul Pierce,33,80,80,2774,507,1021,0.497,111,297,0.374,396,724,0.547,0.551,386,449,0.86,34,396,430,260,80,51,171,231,1511,2011,Boston,Celtics,BOS
Rajon Rondo,24,68,68,2527,318,670,0.475,10,43,0.233,308,627,0.491,0.482,75,132,0.568,87,210,297,760,153,11,234,120,721,2011,Boston,Celtics,BOS
Glen Davis,25,78,13,2298,359,801,0.448,2,15,0.133,357,786,0.454,0.449,195,265,0.736,101,324,425,92,78,30,85,231,915,2011,Boston,Celtics,BOS
Kevin Garnett,34,71,71,2220,434,822,0.528,1,5,0.2,433,817,0.53,0.529,187,217,0.862,83,548,631,171,95,57,115,148,1056,2011,Boston,Celtics,BOS
Nate Robinson,26,55,11,983,146,361,0.404,63,192,0.328,83,169,0.491,0.492,33,40,0.825,15,74,89,105,29,4,66,107,388,2011,Boston,Celtics,BOS
Marquis Daniels,30,49,0,938,114,232,0.491,4,21,0.19,110,211,0.521,0.5,39,57,0.684,24,89,113,64,39,22,38,63,271,2011,Boston,Celtics,BOS
Shaquille O'Neal,38,37,36,752,134,201,0.667,0,0,0.0,134,201,0.667,0.667,73,131,0.557,48,130,178,26,16,42,56,120,341,2011,Boston,Celtics,BOS
Jeff Green,24,26,2,612,98,202,0.485,8,27,0.296,90,175,0.514,0.505,50,63,0.794,16,70,86,19,13,16,23,68,254,2011,Boston,Celtics,BOS
Von Wafer,25,58,2,553,67,159,0.421,18,67,0.269,49,92,0.533,0.478,32,38,0.842,7,42,49,35,18,5,20,39,184,2011,Boston,Celtics,BOS
Nenad Krstić,27,24,20,553,79,147,0.537,0,0,0.0,79,147,0.537,0.537,60,80,0.75,47,81,128,8,8,8,23,77,218,2011,Boston,Celtics,BOS
Semih Erden,24,37,7,531,58,97,0.598,0,0,0.0,58,97,0.598,0.598,34,54,0.63,31,76,107,19,13,21,32,92,150,2011,Boston,Celtics,BOS
Delonte West,27,24,2,453,55,120,0.458,12,33,0.364,43,87,0.494,0.508,13,15,0.867,6,31,37,64,20,10,30,29,135,2011,Boston,Celtics,BOS
Jermaine O'Neal,32,24,10,431,50,109,0.459,0,1,0.0,50,108,0.463,0.459,29,43,0.674,25,63,88,12,2,30,27,65,129,2011,Boston,Celtics,BOS
Kendrick Perkins,26,12,7,313,32,59,0.542,0,0,0.0,32,59,0.542,0.542,23,40,0.575,23,74,97,10,2,10,25,37,87,2011,Boston,Celtics,BOS
Luke Harangody,23,28,0,241,28,71,0.394,2,10,0.2,26,61,0.426,0.408,5,8,0.625,17,38,55,10,4,7,5,36,63,2011,Boston,Celtics,BOS
Carlos Arroyo,31,15,1,190,11,35,0.314,3,5,0.6,8,30,0.267,0.357,11,12,0.917,7,16,23,25,7,0,17,11,36,2011,Boston,Celtics,BOS
Troy Murphy,30,17,0,178,16,38,0.421,1,10,0.1,15,28,0.536,0.434,11,13,0.846,11,27,38,6,8,1,7,19,44,2011,Boston,Celtics,BOS
Avery Bradley,20,31,0,162,23,67,0.343,0,5,0.0,23,62,0.371,0.343,6,12,0.5,4,13,17,12,9,0,16,20,52,2011,Boston,Celtics,BOS
Sasha Pavlović,27,17,0,149,12,26,0.462,5,10,0.5,7,16,0.438,0.558,2,5,0.4,1,13,14,3,5,0,6,15,31,2011,Boston,Celtics,BOS
Chris Johnson,25,4,0,32,2,3,0.667,0,0,0.0,2,3,0.667,0.667,2,2,1.0,1,4,5,1,0,3,2,3,6,2011,Boston,Celtics,BOS
Jrue Holiday,20,82,82,2901,446,999,0.446,81,222,0.365,365,777,0.47,0.487,172,209,0.823,68,264,332,531,120,29,218,203,1145,2011,Philadelphia,76ers,PHI
Elton Brand,31,81,81,2809,502,981,0.512,0,1,0.0,502,980,0.512,0.512,213,273,0.78,237,439,676,120,92,106,101,244,1217,2011,Philadelphia,76ers,PHI
Andre Iguodala,27,67,67,2469,338,759,0.445,61,181,0.337,277,578,0.479,0.486,208,300,0.693,61,326,387,422,101,38,138,109,945,2011,Philadelphia,76ers,PHI
Thaddeus Young,22,82,1,2135,458,847,0.541,6,22,0.273,452,825,0.548,0.544,123,174,0.707,153,281,434,82,90,26,99,170,1045,2011,Philadelphia,76ers,PHI
Jodie Meeks,23,74,64,2062,242,570,0.425,138,348,0.397,104,222,0.468,0.546,152,170,0.894,21,150,171,78,63,4,60,97,774,2011,Philadelphia,76ers,PHI
Evan Turner,22,78,14,1797,225,529,0.425,14,44,0.318,211,485,0.435,0.439,101,125,0.808,42,264,306,159,49,14,80,138,565,2011,Philadelphia,76ers,PHI
Lou Williams,24,75,0,1747,323,795,0.406,88,253,0.348,235,542,0.434,0.462,293,356,0.823,32,117,149,252,47,17,102,128,1027,2011,Philadelphia,76ers,PHI
Spencer Hawes,22,81,81,1718,264,568,0.465,9,37,0.243,255,531,0.48,0.473,47,88,0.534,129,336,465,121,29,71,97,201,584,2011,Philadelphia,76ers,PHI
Andrés Nocioni,31,54,17,931,118,277,0.426,42,118,0.356,76,159,0.478,0.502,49,61,0.803,19,150,169,45,14,15,47,100,327,2011,Philadelphia,76ers,PHI
Marreese Speights,23,64,1,734,144,291,0.495,1,4,0.25,143,287,0.498,0.497,55,73,0.753,64,146,210,30,8,19,40,120,344,2011,Philadelphia,76ers,PHI
Tony Battie,34,38,0,377,45,96,0.469,2,3,0.667,43,93,0.462,0.479,8,14,0.571,17,82,99,12,5,15,12,59,100,2011,Philadelphia,76ers,PHI
Jason Kapono,29,24,2,112,7,28,0.25,1,8,0.125,6,20,0.3,0.268,1,2,0.5,3,8,11,4,2,1,2,4,16,2011,Philadelphia,76ers,PHI
Darius Songaila,32,10,0,71,7,15,0.467,0,0,0.0,7,15,0.467,0.467,2,4,0.5,2,8,10,2,0,0,4,16,16,2011,Philadelphia,76ers,PHI
Antonio Daniels,35,4,0,35,2,5,0.4,0,2,0.0,2,3,0.667,0.4,2,2,1.0,0,5,5,2,0,0,1,0,6,2011,Philadelphia,76ers,PHI
Craig Brackins,23,3,0,33,4,16,0.25,0,5,0.0,4,11,0.364,0.25,0,0,0.0,2,2,4,1,1,0,0,3,8,2011,Philadelphia,76ers,PHI
Brook Lopez,22,82,82,2889,644,1309,0.492,0,1,0.0,644,1308,0.492,0.492,385,489,0.787,197,291,488,129,47,120,176,240,1673,2011,Brooklyn,Nets,NJN
Travis Outlaw,26,82,55,2358,274,731,0.375,76,252,0.302,198,479,0.413,0.427,132,171,0.772,54,271,325,84,34,36,71,148,756,2011,Brooklyn,Nets,NJN
Kris Humphries,25,74,44,2061,307,583,0.527,0,1,0.0,307,582,0.527,0.527,127,191,0.665,225,546,771,84,33,80,103,168,741,2011,Brooklyn,Nets,NJN
Anthony Morrow,25,58,47,1856,279,620,0.45,110,260,0.423,169,360,0.469,0.539,96,107,0.897,37,135,172,68,19,7,54,135,764,2011,Brooklyn,Nets,NJN
Jordan Farmar,24,73,18,1796,255,651,0.392,109,304,0.359,146,347,0.421,0.475,82,100,0.82,24,149,173,368,62,6,139,128,701,2011,Brooklyn,Nets,NJN
Devin Harris,27,54,54,1724,260,612,0.425,33,110,0.3,227,502,0.452,0.452,258,307,0.84,11,118,129,411,57,5,158,130,811,2011,Brooklyn,Nets,NJN
Sasha Vujačić,26,56,17,1594,231,572,0.404,94,255,0.369,137,317,0.432,0.486,80,94,0.851,29,153,182,127,53,5,61,129,636,2011,Brooklyn,Nets,NJN
Derrick Favors,19,56,23,1091,141,276,0.511,0,0,0.0,141,276,0.511,0.511,71,116,0.612,126,171,297,21,18,41,56,183,353,2011,Brooklyn,Nets,NJN
Stephen Graham,28,59,28,959,81,200,0.405,5,21,0.238,76,179,0.425,0.418,31,38,0.816,17,106,123,40,14,1,38,106,198,2011,Brooklyn,Nets,NJN
Johan Petro,25,77,1,893,129,290,0.445,0,4,0.0,129,286,0.451,0.445,15,28,0.536,62,150,212,44,34,34,46,178,273,2011,Brooklyn,Nets,NJN
Deron Williams,26,12,12,456,59,169,0.349,16,59,0.271,43,110,0.391,0.396,46,58,0.793,8,47,55,153,15,3,43,38,180,2011,Brooklyn,Nets,NJN
Ben Uzoh,22,42,0,438,61,144,0.424,3,8,0.375,58,136,0.426,0.434,33,56,0.589,30,31,61,69,13,8,25,29,158,2011,Brooklyn,Nets,NJN
Damion James,23,25,9,403,46,103,0.447,0,3,0.0,46,100,0.46,0.447,18,28,0.643,17,68,85,20,16,12,25,36,110,2011,Brooklyn,Nets,NJN
Quinton Ross,29,36,4,353,26,59,0.441,0,3,0.0,26,56,0.464,0.441,5,14,0.357,10,20,30,10,3,6,7,40,57,2011,Brooklyn,Nets,NJN
Troy Murphy,30,18,4,288,26,76,0.342,4,23,0.174,22,53,0.415,0.368,9,17,0.529,11,64,75,17,7,2,13,28,65,2011,Brooklyn,Nets,NJN
Terrence Williams,23,10,0,206,29,73,0.397,4,12,0.333,25,61,0.41,0.425,5,10,0.5,3,33,36,31,5,0,25,21,67,2011,Brooklyn,Nets,NJN
Brandan Wright,23,16,1,184,22,54,0.407,0,0,0.0,22,54,0.407,0.407,14,17,0.824,17,31,48,7,8,7,4,15,58,2011,Brooklyn,Nets,NJN
Dan Gadzuric,32,14,5,166,17,41,0.415,0,0,0.0,17,41,0.415,0.415,5,13,0.385,18,31,49,3,3,11,8,28,39,2011,Brooklyn,Nets,NJN
Sundiata Gaines,24,10,0,146,20,48,0.417,4,17,0.235,16,31,0.516,0.458,11,20,0.55,10,14,24,25,9,0,13,11,55,2011,Brooklyn,Nets,NJN
Mario West,26,6,3,116,9,21,0.429,1,4,0.25,8,17,0.471,0.452,3,5,0.6,2,9,11,10,7,0,2,13,22,2011,Brooklyn,Nets,NJN
Joe Smith,35,4,3,25,1,4,0.25,0,0,0.0,1,4,0.25,0.25,0,0,0.0,1,2,3,1,0,0,2,3,2,2011,Brooklyn,Nets,NJN
Orien Greene,28,3,0,5,1,2,0.5,0,0,0.0,1,2,0.5,0.5,1,2,0.5,0,0,0,1,1,0,0,0,3,2011,Brooklyn,Nets,NJN
